LAMMPS data file via write_data, version 29 Aug 2024, timestep = 1, units = metal

500 atoms
1 atom types

0 21.338844478294998 xlo xhi
0 21.338844478294998 ylo yhi
0 21.338844478294998 zlo zhi

Masses

1 26.9815

Atoms # atomic

1 1 4.088142684164068e-10 4.0881439491641686e-10 4.088144205039189e-10 0 0 0
2 1 2.1338844500566703 2.1338844500566703 4.088217972999866e-10 0 0 0
3 1 2.133884450056608 4.0882197054201757e-10 2.1338844500566183 0 0 0
4 1 4.0883630701815437e-10 2.13388445005668 2.1338844500566188 0 0 0
5 1 4.267768896810066 4.0882442588093293e-10 4.088311034557436e-10 0 0 0
6 1 4.2677688968101215 2.133884450056642 2.133884450056691 0 0 0
15 1 6.401653343225856 2.1338844500567222 4.0879937821522616e-10 0 0 0
16 1 6.401653343225862 4.0882032201688685e-10 2.133884450056614 0 0 0
17 1 8.53553778981172 4.0880759381587756e-10 4.0878732966427075e-10 0 0 0
18 1 8.535537789811702 2.133884450056642 2.1338844500566383 0 0 0
24 1 10.669422240188307 2.1338844500566783 4.0884559269389067e-10 0 0 0
25 1 10.669422240188299 4.088187994167661e-10 2.133884450056642 0 0 0
26 1 12.803306686774143 4.0879548891491775e-10 4.0883635014315775e-10 0 0 0
27 1 14.937191133189897 2.1338844500567116 4.0882751257495213e-10 0 0 0
28 1 14.937191133190018 4.0877016041952555e-10 2.1338844500566125 0 0 0
29 1 12.80330668677423 2.133884450056642 2.133884450056627 0 0 0
37 1 17.071075579943358 4.088187706667638e-10 4.088122438412463e-10 0 0 0
40 1 17.071075579943354 2.1338844500566543 2.1338844500566316 0 0 0
38 1 19.204960029591177 2.1338844500567187 4.088189278214638e-10 0 0 0
39 1 19.20496002959118 4.088235851421456e-10 2.133884450056604 0 0 0
7 1 4.0883066741770716e-10 4.2677688968099 4.088307462796227e-10 0 0 0
8 1 2.1338844500566476 4.267768896809917 2.133884450056691 0 0 0
46 1 2.1338844500566654 6.401653343225989 4.0879938626522675e-10 0 0 0
47 1 4.088274060174486e-10 6.4016533432260125 2.1338844500566134 0 0 0
49 1 4.0878366691398034e-10 8.535537789811697 4.0878729286426783e-10 0 0 0
50 1 2.133884450056634 8.535537789811704 2.1338844500566383 0 0 0
9 1 4.267768896809943 4.267768896809943 4.088468990451417e-10 0 0 0
19 1 6.401653343225881 4.267768896810082 2.1338844500566863 0 0 0
20 1 8.535537789811722 4.267768896809934 4.0880354030757277e-10 0 0 0
48 1 4.267768896809963 6.401653343226 2.1338844500566863 0 0 0
51 1 4.267768896810077 8.535537789811695 4.088034805030758e-10 0 0 0
55 1 6.401653343225861 6.401653343225861 4.087768037134361e-10 0 0 0
56 1 8.535537789811782 6.401653343225943 2.133884450056633 0 0 0
57 1 6.4016533432258855 8.535537789811649 2.133884450056633 0 0 0
58 1 8.535537789811698 8.535537789811698 4.0876018391211826e-10 0 0 0
30 1 10.669422240188332 4.26776889680994 2.1338844500567142 0 0 0
61 1 10.6694222401883 6.401653343225979 4.088234960171385e-10 0 0 0
64 1 10.669422240188297 8.535537789811727 2.133884450056661 0 0 0
31 1 12.803306686774048 4.267768896809954 4.0885190704622237e-10 0 0 0
32 1 14.937191133189986 4.267768896810073 2.133884450056685 0 0 0
41 1 17.071075579943333 4.267768896809953 4.088282439991556e-10 0 0 0
62 1 14.937191133189934 6.401653343225861 4.08805267638032e-10 0 0 0
63 1 12.803306686774105 6.401653343225985 2.1338844500566223 0 0 0
65 1 12.803306686774176 8.53553778981169 4.0880915551600144e-10 0 0 0
66 1 14.937191133189973 8.535537789811645 2.1338844500566316 0 0 0
71 1 17.071075579943464 6.401653343225983 2.133884450056626 0 0 0
72 1 17.07107557994334 8.5355377898117 4.087852533391061e-10 0 0 0
42 1 19.204960029591152 4.267768896809933 2.1338844500566765 0 0 0
70 1 19.204960029591238 6.401653343225908 4.0879639281498943e-10 0 0 0
73 1 19.204960029591167 8.535537789811693 2.133884450056623 0 0 0
76 1 2.13388445005667 10.669422240188299 4.0884578704390604e-10 0 0 0
77 1 4.0885709441980265e-10 10.669422240188329 2.133884450056642 0 0 0
78 1 4.2677688968100975 10.669422240188299 2.1338844500567142 0 0 0
89 1 6.401653343225856 10.669422240188348 4.088235627171438e-10 0 0 0
90 1 8.535537789811736 10.669422240188288 2.133884450056661 0 0 0
98 1 10.669422240188277 10.669422240188277 4.0887040912085846e-10 0 0 0
99 1 14.93719113318986 10.6694222401883 4.088523163592187e-10 0 0 0
100 1 12.80330668677421 10.669422240188304 2.1338844500566503 0 0 0
113 1 17.07107557994337 10.669422240188318 2.1338844500566543 0 0 0
112 1 19.204960029591177 10.669422240188336 4.088430661436903e-10 0 0 0
79 1 4.08836428918164e-10 12.803306686774015 4.0883596374312716e-10 0 0 0
80 1 2.133884450056662 14.937191133190076 4.0882772539347485e-10 0 0 0
81 1 2.133884450056642 12.803306686774155 2.133884450056627 0 0 0
82 1 4.0882758081746243e-10 14.937191133190074 2.1338844500566125 0 0 0
121 1 4.0881846821673984e-10 17.071075579943315 4.088124894022033e-10 0 0 0
123 1 2.1338844500566303 17.07107557994338 2.1338844500566316 0 0 0
83 1 4.267768896809929 12.803306686774024 4.088518449406022e-10 0 0 0
84 1 4.267768896809982 14.937191133190074 2.133884450056685 0 0 0
91 1 6.401653343225832 14.937191133189904 4.0880549305938775e-10 0 0 0
92 1 6.401653343225881 12.80330668677421 2.1338844500566223 0 0 0
93 1 8.535537789811784 12.803306686774082 4.0880939931602076e-10 0 0 0
94 1 8.535537789811707 14.93719113318996 2.1338844500566316 0 0 0
125 1 4.2677688968101 17.071075579943308 4.08828228453378e-10 0 0 0
131 1 6.401653343225939 17.071075579943326 2.1338844500566263 0 0 0
132 1 8.535537789811695 17.071075579943333 4.087850676140914e-10 0 0 0
101 1 10.669422240188254 14.937191133190023 4.0885241527831835e-10 0 0 0
102 1 10.669422240188345 12.803306686774198 2.13388445005665 0 0 0
137 1 10.669422240188318 17.07107557994337 2.1338844500566543 0 0 0
103 1 12.803306686774125 12.803306686774125 4.088577959198583e-10 0 0 0
104 1 14.937191133189932 14.937191133189934 4.0883412708909964e-10 0 0 0
105 1 14.937191133190009 12.803306686774176 2.1338844500566214 0 0 0
106 1 12.803306686774139 14.937191133190046 2.133884450056621 0 0 0
114 1 17.071075579943372 12.80330668677403 4.088339955179711e-10 0 0 0
117 1 17.07107557994341 14.93719113319011 2.1338844500566254 0 0 0
138 1 12.803306686774171 17.071075579943315 4.0883421746798867e-10 0 0 0
140 1 14.937191133189964 17.071075579943326 2.133884450056625 0 0 0
145 1 17.07107557994332 17.07107557994332 4.0881039218189296e-10 0 0 0
115 1 19.20496002959117 14.937191133190025 4.088252459016439e-10 0 0 0
116 1 19.204960029591156 12.803306686774082 2.133884450056613 0 0 0
147 1 19.204960029591174 17.071075579943336 2.133884450056617 0 0 0
122 1 2.133884450056648 19.204960029591174 4.0881881124020457e-10 0 0 0
124 1 4.08823691517154e-10 19.20496002959118 2.1338844500566037 0 0 0
